Location	Category	Sub Category	Brand	Offer	Start Date	End Date
Udaipur	Dining	Restaurant	Aishwarya Resorts	"15% off only on meals & beverages on total billing (as per card rate, exclusive of taxes)"	"September 30, 2013"	"September 30, 2014"
Udaipur	Dining	Restaurant	Kurabar Kothi	"20% discount on meals & non-alcoholic beverages on total billing (as per card rate, exclusive of taxes)"	"September 28, 2013"	"September 30, 2014"
Udaipur	Hotels	Hotels	Shree Krishna Leela Palace & Motels Pvt Ltd	"25% off on meals & beverages on total billing (as per menu card rate, exclusive of taxes) 40% off on room accommodation only on total billing (as per tariff rate, exclusive of taxes)"	"October 3, 2013"	"October 3, 2014"
Jaipur	Health & Wellness	Organic food	Morarka organic foods ltd.	10% discount on total billing (as per card rate)	"September 11, 2013"	"September 30, 2014"
Jaipur	Health & Wellness	Hospital	Narayan Hridyalaya Pvt. Ltd.	"10% discount on OPD/IPD consultations, room rent, diagnostic investigations, radiology services including X-ray, CT scan, MRI, Emergency services, OPD & IPD Procedures-Services (excluding devices, implants, blood processing charges, dialysis, pharmacy & c"	"October 1, 2013"	"September 30, 2014"
Jaipur	Retail	Jewellery	Bhuramal Rajmal Surana Jaipur	10% off on purchase of products/services worth a total of Rs. 1000 and above on total billing (on MRP inclusive of all taxes) as per card rate	"October 1, 2013"	"September 30, 2014"
Udaipur	Dining	Restaurant	Kabab mistri at Jaising Garh (A unit of Innovation Hospitality)	20% off on total billing (as per card rate)	"October 11, 2013"	"September 11, 2014"
Udaipur	Dining	Restaurant	Udaipuri _ A Vegetarian kitchen (a unit of Innovation Hospitality)	20% off on total billing (as per card rate)	"October 11, 2013"	"September 11, 2014"
Bikaner	Hotels	Hotels	Hotel sagar	15% off on total billing (as per card rate)	"October 11, 2013"	"October 30, 2014"
Sikar	Dining	Restaurant	Saffron restaurant	10% off on total billing (as per card rate)	"October 12, 2013"	"October 30, 2014"
Sikar	Electronics	Electronics	Sharda Computers	10% off on total billing (as per card rate)	"October 12, 2013"	"October 30, 2014"
Sikar	Dining	Restaurant	Pakwaan and Nawab Saab	15% off on total billing (as per card rate)	"October 12, 2013"	"October 30, 2014"
Sikar	Health & Wellness	Sports	N K Sports	5% off on total billing (on select brands)	"October 12, 2013"	"October 30, 2014"
Sikar	Apparels	Apparels	Shri Balaji trader	10% off on total billing	"October 12, 2013"	"October 30, 2014"
Sikar	Hotels	Hotels	Hotel park Avenue	20% discount on stay 15% discount on restaurant	"October 14, 2013"	"October 30, 2014"
Sikar	Apparels	Apparels	Jawai Raja	"5% discount on total billing of select brands (Levis, Mufti, BIBA)"	"October 14, 2013"	"October 30, 2014"
Jaipur	Dining	Restaurant	Spicy Multi cuisine  veg Restaurant	15% discount on total billing of food (as per card rate)	"September 11, 2013"	"September 30, 2014"
Jaipur	Handicraft	Pottery	Ramgopal Blue potteries	10% off on purchase of products/services worth a total of Rs. 500 and above on total billing (on MRP inclusive of all taxes) as per card rate	"October 10, 2013"	"October 9, 2014"
Jaipur	Dining	Restaurant	Hotel Maharaja Residency	10% off on purchase of products/services worth a total of Rs. 500 and above on total billing (on MRP inclusive of all taxes) as per card rate	"October 10, 2013"	"October 10, 2014"
